DateOfDeparture;Departure;Arrival;WeeksToDeparture;log_PAX;std_wtd
2011-10-25;ORD;PHL;11.61904762;11.85074607;9.041438992
2012-04-08;ATL;MCO;11.47826087;10.05048812;9.174418809
2012-02-24;ORD;MSP;11.3;11.60865056;9.476286192
2013-01-07;ATL;DTW;9.2;10.40606085;6.978161423
2011-11-24;DEN;ORD;10.17647059;8.285436883;7.307832221
2012-06-04;EWR;ATL;8.736842105;11.45875724;6.942958905
2012-11-21;LAS;DEN;11.40909091;10.14188607;8.15714172
2013-02-16;ORD;PHX;9.277777778;9.775731099;6.806619231
2013-01-06;BOS;LGA;3.5;8.944033095;2.449489743
2011-10-12;PHL;MCO;12.91666667;10.29739075;9.088533945
2012-04-28;PHL;MCO;15.89655172;10.00741517;11.99804992
2012-11-04;MSP;DEN;8.764705882;9.981085665;8.764483811
2012-09-12;SEA;SFO;11.55;11.64521988;10.1694848
2012-05-27;ATL;PHL;9.65;10.68649717;6.175290319
2011-10-24;ATL;PHL;9.789473684;12.07364919;6.671489484
2011-09-11;SFO;LAS;12.80769231;10.95660338;8.148713915
2012-06-26;LGA;BOS;5.076923077;13.00897786;3.774068063
2012-04-19;LAX;JFK;15.96969697;13.51297103;10.96153744
2011-09-18;LAS;ORD;13.67857143;11.39359863;8.511663333
2012-04-21;SFO;DFW;9.611111111;10.14188607;7.547020362
2011-12-30;LAX;LAS;16.64705882;11.81141296;11.62255475
2012-07-16;EWR;SFO;12.38095238;11.24259329;11.38189875
2012-09-09;ORD;LAS;14.15384615;11.02349244;10.48309995
2012-09-26;DEN;DFW;12.04761905;11.51007198;10.84654872
2012-06-28;SFO;SEA;11;11.72323404;8.388303545
2012-02-05;ORD;EWR;7.058823529;10.79242331;4.95568598
2011-12-20;ATL;MIA;14.75862069;10.83204493;10.93701178
2012-07-03;DFW;ORD;14.5;10.74608613;12.28997471
2012-04-27;IAH;ORD;11.05263158;11.15519249;9.033724987
2012-11-28;DFW;BOS;8.266666667;10.61238242;8.859753839
2012-02-25;DFW;LGA;10;9.918164852;6.727789971
2012-05-21;EWR;LAX;10.25;11.47072504;7.635615992
2012-10-27;SEA;ORD;11.15;9.511127243;8.499380782
2012-08-09;ORD;EWR;13.53846154;12.17175468;9.166158494
2012-08-10;DFW;ATL;9.294117647;11.88290162;7.15685603
2011-09-08;ATL;LGA;10.63636364;12.43371278;8.074330015
2012-02-09;DEN;LAX;13.08695652;11.34319081;10.09461172
2011-11-23;SEA;SFO;13.84;11.00316552;9.990328657
2012-11-07;DEN;ORD;10.94117647;10.84321248;11.55135592
2011-09-06;PHL;BOS;10.5;11.60495388;7.72505473
2011-11-30;MIA;ATL;13.29166667;10.89806866;9.534738165
2012-04-22;ATL;MSP;11.95454545;10.76939863;9.746683308
2011-12-09;ORD;DFW;12.65217391;12.46663881;9.527990801
2012-05-11;LGA;ATL;11.72727273;12.58845803;9.077349194
2012-01-28;DFW;ORD;10.05;10.30483577;7.133870286
2012-07-01;SFO;LAX;14.36666667;12.01220914;10.10456822
2013-01-01;LAX;BOS;13.66666667;9.81478961;8.948571008
2013-03-04;ATL;DTW;11.77777778;9.417859021;10.89282309
2012-02-16;LAX;ATL;14.72413793;11.88608689;9.724404322
2011-11-08;BOS;PHL;7.058823529;12.27789859;4.95568598
2011-12-31;EWR;BOS;11.55555556;7.66668009;7.625207594
2011-12-05;ORD;MSP;8.888888889;12.44081746;7.568424258
2012-04-24;MIA;ATL;11.52173913;10.8151672;10.31710656
2012-04-01;ATL;LGA;9.1;11.91137508;6.904613256
2012-04-14;ORD;DEN;9;9.077833738;6.259111006
2012-08-27;LAX;SFO;15.87096774;12.71916517;11.73809165
2012-11-04;JFK;SFO;13.11538462;11.8797109;10.23064777
2012-02-04;ATL;LAX;14.17241379;10.64980794;10.7040345
2011-12-27;PHL;MCO;17.0625;10.42008329;11.7937586
2012-05-09;ATL;LGA;9.1;12.53079663;6.896986375
2012-01-11;LAX;LAS;14.96428571;11.90193215;11.05368095
2012-07-19;LAS;SFO;13.84615385;11.19710382;10.98978547
2013-02-18;ATL;BOS;12.31818182;11.33037305;10.50345233
2012-01-22;CLT;ATL;7.4375;10.61238242;6.25
2012-08-20;LAX;ATL;14.67857143;11.36856502;11.69062167
2012-02-22;ATL;LGA;10.52380952;12.43371278;8.268125831
2013-02-18;LAS;JFK;14.03703704;10.42008329;11.2266218
2012-05-17;DEN;SEA;13.55555556;10.91421574;8.824499695
2012-02-20;BOS;SFO;7.666666667;11.26048288;5.936168397
2011-11-17;ORD;DTW;8.631578947;11.87331303;6.643380384
2013-01-01;DFW;LGA;10.27272727;9.578139569;7.635642102
2012-08-29;SFO;LAX;15.87096774;12.65916632;12.03534222
2011-09-06;DTW;ORD;8.823529412;11.338928;6.287241984
2011-12-10;SEA;LAX;11.34782609;10.30483577;7.3522334
2012-09-11;LAS;DEN;11.91666667;10.57419046;7.82369126
2011-12-22;DFW;PHL;9.75;9.556068593;9.63673527
2012-12-27;LAX;IAH;14.89285714;9.998679906;10.24636986
2012-08-23;CLT;LGA;11.05263158;11.44267977;10.14601008
2012-11-11;DEN;DFW;9.941176471;10.85983942;10.04035973
2013-02-27;SFO;SEA;11.6;11.84424789;10.47000729
2012-03-12;DEN;SFO;9.066666667;11.54860591;8.811248222
2012-03-10;JFK;SFO;12.86363636;11.81472259;10.82015515
2012-11-25;SFO;ORD;10.3;11.44671215;7.637166738
2012-06-27;LAX;SEA;11.13043478;11.54096256;9.738883396
2012-02-15;LGA;ATL;7.0625;12.41463358;5.470755585
2012-01-05;DEN;SFO;12.96153846;10.57419046;10.43256735
2011-11-22;CLT;ATL;11.19047619;10.22125872;8.394158967
2012-05-21;ORD;LAS;11.76;11.23809395;8.530728769
2013-01-08;ATL;MIA;11.27272727;10.32699416;8.865029306
2013-01-21;ATL;CLT;9.0625;10.69254248;8.185098248
2013-01-02;DTW;LGA;9.842105263;10.22125872;7.304969069
2012-04-24;EWR;SFO;14;10.54175528;12.6419216
2013-01-17;DEN;ATL;7.666666667;10.49537694;6.055300708
2012-09-01;ORD;SFO;13.57692308;10.43400108;9.411367922
2012-03-15;SFO;LAS;12.23809524;10.45468494;10.37258291
2012-01-26;ATL;LGA;7.5;12.29586821;6.121002097
2012-12-23;LAX;DFW;14.36;10.29739075;10.91970696
2012-02-25;ORD;DEN;14.92592593;10.18991385;12.65800424
2012-02-13;ATL;PHL;9.666666667;11.63067809;8
2012-01-08;SFO;BOS;11;11.04859343;8.783956668
2011-11-21;PHX;ORD;10.10526316;9.735837048;7.600400113
2012-09-09;ATL;MIA;11.82608696;10.39193217;9.74517211
2012-07-28;LAX;DEN;13.2962963;10.47514192;10.13681339
2012-01-18;DEN;ORD;8.125;10.82643597;5.414486741
2011-10-08;DFW;DEN;8.705882353;9.268581312;6.400827152
2012-04-01;DFW;BOS;8.95;10.16605456;6.660764932
2012-03-05;DFW;SFO;8.214285714;11.47866112;6.852047099
2012-03-27;DTW;ATL;8.125;9.805101403;5.863730326
2012-01-12;LAS;LAX;15.75;12.8413086;11.73635103
2011-10-12;ORD;SEA;11.38095238;11.13149489;8.315504738
2012-01-06;LAX;JFK;18.55555556;12.64862375;12.16656882
2012-01-06;JFK;MIA;16.65625;10.92490331;11.3097428
2011-12-20;ORD;LAS;9.578947368;9.578139569;6.46628684
2012-01-02;PHL;ORD;10.72727273;10.6186724;6.950038151
2012-10-20;LAX;SFO;16.76470588;11.86689314;11.60213884
2013-01-20;ATL;LGA;8.294117647;11.23809395;5.52001705
2012-02-21;ATL;LAX;12.82608696;11.63796316;9.796345209
2013-01-11;LAS;SFO;17.91428571;13.13532248;13.10673699
2012-12-15;DEN;ORD;11.4;9.21604331;7.56306816
2012-04-21;LGA;ORD;11.17647059;11.05357334;10.36360998
2012-03-04;DEN;SFO;10.75;10.91421574;9.272909042
2012-08-06;ATL;PHL;10.52173913;12.06788419;7.409266711
2012-05-15;LAS;DFW;9.25;9.765837305;9.448103866
2012-05-12;ATL;EWR;13.04761905;9.441616996;11.67679832
2011-09-19;ATL;LAX;11;11.95175082;8.140806304
2012-02-16;ORD;IAH;11.86363636;11.50617444;8.322633824
2011-12-09;PHL;ATL;9.555555556;11.54478815;7.22106577
2011-09-25;DEN;MSP;12.81481481;10.64980794;9.089457279
2011-12-28;LAX;JFK;19.68292683;12.24668487;12.84219417
2012-09-28;LAX;ORD;15.83333333;12.23879913;11.13268977
2013-01-18;LAX;ATL;14.1;12.03878882;9.312024114
2011-09-01;LGA;BOS;6.583333333;12.57970226;7.216878365
2011-12-22;LGA;MIA;18;10.2290133;11.75985194
2012-03-26;SFO;DEN;10.0952381;11.04859343;6.378908699
2011-11-29;LAS;SFO;11.57142857;10.10089594;8.194946178
2012-11-16;ATL;PHL;9.85;11.73016705;6.499190233
2012-01-30;LAX;BOS;9.166666667;10.42008329;7.770608274
2012-08-23;SEA;LAX;14.03448276;11.72323404;9.667629192
2012-12-08;LGA;BOS;3;7.949794623;2.828427125
2012-01-03;BOS;EWR;11.05555556;10.32699416;10.4288752
2011-09-22;SFO;EWR;14.53333333;11.91137508;8.861903483
2012-08-30;SEA;DEN;8.666666667;11.07336107;5.656854249
2012-08-09;ATL;DTW;8.277777778;11.26936373;6.433419689
2012-10-11;BOS;SFO;12.64;11.58261857;8.582346222
2012-10-21;PHL;BOS;8.0625;10.26730984;5.790437519
2011-09-02;ATL;MSP;8.294117647;10.63741603;5.542615649
2013-01-05;DEN;PHX;13;9.488243818;12.40071683
2011-09-24;DFW;LAX;12.95833333;10.56774839;8.69522191
2012-06-18;LAS;SFO;13.56;10.69254248;10.46454331
2012-05-03;SFO;DFW;11.27272727;11.42646248;7.734781175
2011-11-16;DEN;ATL;10.26315789;10.58700821;8.122958583
2012-01-30;ATL;ORD;12.27272727;11.84749981;11.16193283
2011-11-18;LGA;DFW;8.8125;11.63796316;7.341378163
2012-10-22;SFO;DFW;12.36363636;11.4667443;9.824873461
2012-06-18;DFW;PHL;6.928571429;10.88178056;4.921917789
2012-09-06;MSP;DEN;10.95454545;10.77518151;8.465488891
2013-01-08;SFO;BOS;10.33333333;10.58700821;6.718134662
2013-02-08;PHL;BOS;7.555555556;9.610763884;8.790777996
2013-02-15;CLT;LGA;9.0625;10.57419046;7.075485849
2012-08-06;EWR;ATL;11.52380952;11.3088124;9.912714298
2012-08-17;PHL;DFW;9;10.44092122;7.004760286
2012-12-19;LGA;ORD;11.27777778;13.3329571;10.72548123
2012-05-22;SFO;DFW;10.5;11.17859274;8.426149773
2012-09-01;ATL;EWR;15.36363636;9.13435248;12.93406523
2012-01-19;DEN;LAS;10.8;10.40606085;7.857949378
2011-12-23;ORD;DEN;13.96;10.12559797;10.41025136
2011-11-11;ATL;ORD;10.73684211;11.82132428;8.837056481
2012-09-12;PHL;MCO;15.62068966;10.28991588;11.16248114
2011-12-13;LAS;DFW;8.647058824;9.369415369;6.061571336
2012-04-17;SEA;LAX;10.52380952;11.00826806;6.997278382
2012-08-20;MCO;PHL;15.17857143;10.71652964;10.80141819
2011-11-05;EWR;ATL;9.888888889;9.393794484;7.291323521
2011-10-26;DFW;LAX;14.16666667;11.63432418;10.50327761
2011-11-03;BOS;ATL;10.75;11.53328775;8.239027791
2012-08-10;ATL;ORD;9.571428571;11.91451213;6.917885722
2012-07-15;PHL;MCO;14.48275862;10.43400108;9.50045371
2012-05-23;PHX;ORD;9.315789474;11.15989608;6.200829977
2012-05-20;BOS;ORD;13.56;11.68817708;9.874546403
2012-06-05;IAH;ORD;10.42105263;10.70457462;7.876235631
2012-03-07;SEA;LAX;8.066666667;11.22453043;6.441679757
2012-04-20;LGA;MIA;11.09090909;11.85074607;7.236870482
2013-01-22;DTW;ATL;8.947368421;10.95135731;6.778017444
2012-05-27;LAX;LAS;14.07142857;11.04360019;10.88977969
2013-02-22;SEA;DEN;7.4;10.4615289;4.910629869
2011-09-10;ORD;MSP;11.22727273;9.663900691;7.335054894
2011-12-06;ORD;ATL;6.875;11.71627517;5.315072906
2011-09-17;BOS;ORD;10.42857143;10.99804899;6.968295549
2012-04-22;ORD;MSP;8.6875;11.34319081;7.854669524
2011-10-05;JFK;MCO;13.42857143;9.963323857;9.354850481
2012-04-23;CLT;LGA;5.583333333;11.4142063;3.75277675
2012-06-12;LGA;DTW;7.466666667;10.5220199;6.653319973
2012-02-01;ORD;BOS;13.57142857;11.63067809;11.29854605
2011-11-13;LGA;MIA;13.26923077;10.83204493;9.710026539
2011-12-30;DEN;SFO;13.48;9.663900691;10.13706072
2012-10-10;LAX;DEN;11.40909091;11.19249325;8.255786374
2012-06-10;DEN;SFO;16.52;11.36435988;13.68429757
2012-04-30;ORD;SEA;12.6;10.93022421;10.99952152
2011-10-18;MIA;ATL;14.65384615;11.09294105;9.995768335
2011-10-29;BOS;SFO;13.73076923;9.981085665;9.370411698
2012-08-20;JFK;MIA;17.06060606;10.64980794;11.40158814
2012-08-19;MIA;JFK;14.82758621;10.09258868;9.603083454
2012-05-06;LAX;DFW;11.70833333;11.60865056;9.905989258
2011-11-06;ATL;LGA;9.428571429;11.92700783;6.852528209
2012-12-02;SFO;ORD;9.894736842;11.39773842;7.22568518
2011-12-21;PHX;ORD;13.65384615;10.71056171;9.818115125
2012-02-11;BOS;SFO;8.888888889;9.674348761;5.89006031
2013-01-21;DFW;BOS;9.833333333;10.69856825;7.453779144
2012-03-17;EWR;SFO;12.5;10.11740026;10.28984705
2012-08-28;DEN;ATL;12.15;10.51539476;10.14772466
2012-04-11;DFW;SFO;7.875;11.22453043;5.560275773
2012-04-16;PHL;BOS;11;11.17393612;11.35781669
2012-01-15;ORD;SFO;10.69565217;11.21543297;7.893811055
2012-01-03;LAX;DFW;15.46428571;11.82790268;11.23975136
2011-12-18;PHL;DFW;9.222222222;9.13435248;6.421980229
2011-10-12;LAX;SEA;10.85714286;11.10265448;7.584759154
2011-10-02;LAX;JFK;14.71875;13.5472401;9.602534528
2012-01-02;SFO;DFW;11.95833333;10.27487567;7.87113144
2012-08-24;ORD;PHX;10.44444444;10.34889236;9.960050923
2013-02-26;EWR;ORD;6.692307692;11.25155953;5.039586878
2012-06-12;CLT;ATL;8.222222222;10.91956718;6.467616668
2011-11-07;DEN;SEA;7.823529412;11.06349345;6.521457794
2012-01-25;ORD;MSP;11.94736842;12.25453742;10.48530021
2011-11-15;ATL;CLT;6.714285714;11.1074923;6.144773532
2011-12-13;ORD;ATL;9.444444444;11.86367489;9.338234008
2012-04-26;LAX;ORD;12.76;12.2804763;8.584287973
2012-11-22;DEN;DFW;9.631578947;9.120382559;6.841138033
2013-02-24;ATL;DEN;9.684210526;10.67434745;8.838379889
2012-03-18;MSP;DEN;10;10.08424426;8.103497187
2012-09-06;ORD;EWR;12.90909091;11.49050228;11.2076041
2012-09-07;DEN;LAS;13.48148148;10.508746;8.599509693
2011-12-04;MIA;LGA;15.59375;11.88926673;10.76391635
2012-08-07;DEN;ORD;11.56521739;10.88178056;8.072546556
2012-04-22;IAH;LAX;13.16;11.86367489;9.285652014
2012-03-20;SFO;DFW;8.894736842;11.18787125;7.171662885
2012-01-24;LAS;ORD;9.166666667;10.22125872;6.546215791
2012-07-19;DEN;DFW;8.235294118;11.81472259;5.379700407
2011-11-06;SFO;JFK;13.8;12.73134133;10.05816418
2012-03-26;ORD;DFW;11.26315789;12.50357023;9.170254481
2011-11-20;SFO;LAX;14.75862069;12.35124268;11.02806541
2012-12-17;PHL;ATL;10.18181818;11.69171258;8.003786982
2013-01-21;DFW;DEN;10.33333333;11.38529137;6.806859286
2012-05-08;SFO;BOS;8.75;11.17859274;6.197410325
2011-10-20;DEN;ATL;11.26086957;11.17393612;7.31882623
2011-10-16;ORD;IAH;10.75;11.20629091;8.490706994
2011-11-27;ATL;EWR;10.7;10.4886563;8.157011837
2012-02-20;JFK;LAS;14;11.36856502;10.75918213
2012-12-26;ATL;LAX;16.17647059;10.94609644;11.12319604
2011-10-15;CLT;ATL;7.266666667;9.319679735;4.92031745
2012-09-13;ATL;MSP;11.04347826;11.2782025;8.466394858
2012-09-28;ATL;BOS;9.3;11.27378835;7.377776016
2012-07-24;LAS;DFW;10.81818182;10.31225119;7.122308104
2011-09-08;SFO;BOS;12.62962963;11.51784273;8.66978905
2012-08-03;JFK;MCO;16.06451613;10.84877128;11.02099658
2011-11-22;DFW;SFO;9;10.14188607;6.259111006
2012-09-27;MIA;LGA;9.235294118;10.5352;7.603694922
2012-08-17;MCO;ATL;12.76;12.00923232;8.945576188
2011-09-15;SFO;BOS;12.5;12.12194525;8.392543274
2011-10-24;ORD;ATL;9.095238095;12.35619614;6.212123324
2012-06-19;ORD;PHX;11.77272727;10.50207345;8.970490342
2012-04-01;LAS;ORD;8.058823529;11.12671902;5.15352535
2013-01-03;SFO;ORD;11.71428571;10.62494123;9.808888098
2012-09-07;SEA;ORD;14.33333333;11.06349345;10.14130928
2012-09-01;BOS;EWR;14.52173913;8.569787113;11.61843975
2012-10-30;ORD;LAS;14.85185185;10.71056171;10.94989885
2012-10-02;SFO;SEA;11.71428571;11.35168729;10.27201469
2012-12-08;ORD;MSP;12.66666667;10.19779959;10.6973517
2011-12-01;SFO;DFW;9.05;11.02349244;6.847781047
2011-12-04;JFK;SFO;12.66666667;12.39777765;9.383920876
2012-01-17;ATL;EWR;9.529411765;11.15519249;8.292448727
2012-07-03;LAX;SEA;13.96551724;10.99804899;10.15762472
2012-03-06;MSP;ATL;12.6;10.8208101;9.420721841
2012-01-22;MCO;EWR;14.75;10.63118906;10.34810772
2012-08-29;ATL;MSP;11.34782609;10.91421574;7.376921603
2011-10-22;ATL;ORD;13.09090909;10.31225119;10.23955491
2011-10-10;ORD;LGA;14.32258065;13.74295114;9.470611021
2013-02-22;DEN;ATL;12.2;10.44781578;9.61687114
2012-05-16;LAS;DFW;8.555555556;9.981085665;5.436502143
2012-01-04;MCO;PHL;10.40909091;10.52862159;8.35896491
2012-03-26;DEN;MSP;11.54545455;10.93552998;8.302192899
2013-02-23;LGA;DFW;8.1875;9.307035783;5.946637705
2012-09-22;MIA;JFK;19.13333333;9.765837305;14.36886801
2012-01-27;PHX;ORD;11.33333333;10.69856825;8.386497084
2012-11-07;DEN;SEA;9.894736842;10.49537694;7.673147528
2011-10-01;DFW;SFO;11.39130435;10.48191135;7.265980072
2011-11-04;MIA;LGA;13.64;10.9088489;9.660400268
2012-03-24;LAX;ORD;14.55172414;11.80809744;9.616155331
2013-01-25;EWR;SFO;13.5;10.03337813;11.3624497
2012-03-12;SFO;LAS;11.61904762;10.89265509;9.568051999
2012-11-29;ORD;SEA;12.72727273;10.80950718;10.10978695
2012-12-09;ORD;MSP;9.952380952;11.51784273;7.984210609
2012-11-21;SFO;JFK;16.93548387;11.44671215;11.9441352
2012-04-29;ORD;IAH;9.055555556;10.84321248;6.272931787
2012-11-01;MCO;EWR;14.4137931;10.87084226;10.94309058
2011-12-03;MCO;ATL;13.96296296;10.80950718;9.525195259
2012-05-13;BOS;EWR;10.10526316;10.00741517;7.816611491
2012-10-25;LGA;MIA;14.08333333;11.36856502;11.06469775
2012-05-01;ATL;LAX;11.26315789;11.150477;10.66584427
2013-01-14;BOS;SFO;10.05555556;11.90823275;8.47468356
2012-07-04;ORD;LAX;13.88888889;10.89265509;9.390393345
2011-10-31;PHL;DFW;7.1875;10.28991588;5.588306243
2012-02-28;MIA;JFK;10.86363636;11.14574955;7.23283159
2011-09-21;DEN;LAX;13.21428571;11.57886987;9.044569244
2011-09-21;BOS;LGA;7.8;13.46854872;7.830343908
2012-04-17;LGA;ATL;7.555555556;12.2229269;5.249338583
2011-09-27;SFO;ATL;10.69565217;10.48191135;7.600447251
2012-03-02;DTW;ATL;9.631578947;10.83204493;8.427537708
2012-02-28;ATL;DFW;7.375;11.81141296;6.227626621
2012-11-07;LAS;DEN;13.69565217;10.59973847;10.98525782
2011-10-03;BOS;LAX;11.88461538;11.4746973;8.125647903
2011-09-19;EWR;LAX;12.84;11.59381966;8.3
2012-10-06;LAX;EWR;11.57142857;10.09258868;9.20093163
2011-11-01;DTW;ATL;10.7;10.83763706;7.854599725
2012-08-04;LAX;IAH;14.37037037;9.981085665;10.36691538
2011-12-21;SFO;LAS;14.6;9.972225906;11.52171862
2012-04-30;ATL;CLT;9.263157895;10.68649717;7.823341892
